StreetName destination hospital,Latitude hospital,Longitude hospital
Herestraat,"50.8786082
","4.67369051562039
"
Rubensstraat,51.3127174,4.9442595
Augustijnslei,51.3026209,4.4863229
Lange Bremstraat,51.2591128,4.4535993
Lange Beeldekensstraat,51.2217898,4.4334075
Gouwelozestraat,51.2180126,2.933599
Kliniekstraat,51.2145821,5.311097
Maesensveld,51.2130843,5.4162773
Hoogstraat,51.2098665,3.2307644
Florent Pauwelslei,51.2088434,4.4727682
Lindendreef,51.184688,4.4181706
Nederrij,51.1821409,4.8351694
Spoorweglaan,51.1676524,4.1328817
Gasthuisstraat,51.1663352,5.166361
Sint-Vincentiusstraat,51.1641948,4.1517054
Moerlandstraat,51.1599573,4.1484781
Wilrijkstraat,51.1593592,4.412607
Liersesteenweg,51.1491229,4.5774378
Mechelsestraat,51.138651,4.8830356
's Herenbaan,51.1042185,4.3761793
Oude Liersebaan,51.1036952,4.5383673
Pastoor Paquaylaan,51.0478994,5.3221943
Imeldalaan,51.018834,4.557186
Schiepse Bos,50.956942750000000,5.513311885139200
Stadsomvaart,50.92763,5.3448496
Laarbeeklaan,50.8867766,4.3109165
Arthur Van Gehuchtenplein,50.8854821,4.3328593
Naamsestraat,50.8691675,4.6989768
Briekestraat,50.8660696,2.8956183
Rue de la Marne,50.8626894086268,4.36880856878825
Avenue Hippocrate,50.8526246,4.4553618
Broekstraat,50.851833,4.35975
Rue de Villers,50.8437302,4.3510827
Rue de Linthout,50.8408102,4.4012483
Rue Docteur Huet,50.8333118,4.2928265
Kasteelstraat,50.8313365,4.3789024
Diestersteenweg,50.8279903,5.1897419
Rue Jean Paquot,50.8264972,4.378303
Rue Marconi,50.8183048026053,4.34249204180266
Triomflaan,50.8178659,4.4022912
Avenue De FrÈ,50.8031574,4.3412639
Avenue De FrÈ - De FrÈlaan,50.8031574,4.3412639
Oude Leielaan,50.7931832,3.1212517
Hazelereik,50.7854919,5.4844934
Avenue Stefaan-Modest Glorieux,50.7528575,3.6017071
Avenue des Tilleuls,50.7500954,4.3822921
Avenue de Fecamp,50.7487806,3.2216739
Rue Basse Hermalle,50.734709,5.6887898
Rue Edmond de Selys Longchamps,50.6921704,5.2442874
Rue Wayez,50.6878452,4.3680011
Chaussee de Nivelles,50.6772145,4.3955713
Avenue Reine Fabiola,50.6694212,4.5664165
Boulevard du 12eme de Ligne,50.6518321,5.5751418
Boulevard du 12Ëme de Ligne,50.6518321,5.5751418
Boulevard de Patience et Beaujonc,50.6463956,5.5348879
Rue Maria Thomee,50.6349252,3.7775883
Hufengasse,50.6289502691754,6.02869713994182
Rue de Gaillarmont,50.6137809,5.616221
Rue Ferrer,50.6062673,5.4984563
Avenue de la Resistance,50.602460813119,5.73285271994983
Rue des Sports,50.5989346338716,3.38447868412081
Rue Samiette,50.5954075,4.3142348
Rue Andre Renard,50.5845201,5.4968231
Rue Laplace,50.5800784278507,5.49213371295607
Chaussee de Braine,50.5773202,4.1483344
Avenue de l'Hopital,50.5741180582316,5.56999310008094
Chaussee de Bruxelles,50.5423161,4.4514664
Rue des Trois Ponts,50.5134282981145,5.23971745342852
Rue de la Station,50.4969416,4.3259516
Rue Saint-Luc,50.4773831077235,4.88290302829579
Avenue Max Buset,50.4765162,4.2038287
Place Louise Godin,50.4612263,4.8434229
Boulevard du President Kennedy,50.4582798886263,3.96067615104892
Avenue Baudouin de Constantinople,50.4537911,3.9590105
Rue du Commerce,50.4357137113714,3.8322247129497
Rue Chere Voie,50.4354323,4.6238365
Rue devant les Religieuses,50.425622,6.024393
Rue des Chaufours,50.4158761388619,3.80307405527669
Rue Marguerite Depasse,50.4147759,4.4795624
Rue de Gozee,50.3598348,4.363825
Avenue Desandrouin,50.3591484,3.5002124
Avenue Albert 1er,50.358446,3.5248935
Rue Saint-Jacques,50.2667550000649,4.93184652828646
Rue du Vivier,50.2271292088851,5.31544857246509
Boulevard Louise,50.0463242,4.3134766
Chaussee de Houffalize,50.0112285,5.7228773
Avenue de Houffalize,49.9262312,5.3825562
Rue des Ardoisieres,49.8307947900553,5.26599394175924
Grand'Rue,49.683238,5.5132262
Rue des Deportes,49.6811904054756,5.81930192640847
Rue d'Harnoncourt,49.5534135,5.5233769